Target_memory,Target_time,Neural_Network,Dataset,Batch_size,Occupied_memory,Memory_epsilon,One_iteration_inference_time,Iterations
90%,3600s,LeNet5,MNIST,128,148.0MB,6903.5MB,0.4834322929382324s,7446
95%,3600s,mnasnet0_5,CIFAR10,128,196.0MB,7247.25MB,0.9052715301513672s,3976
95%,3600s,mobilenet_v2,CIFAR10,128,300.0MB,7143.25MB,1.247321367263794s,2886
95%,3600s,resnet18,CIFAR10,128,258.0MB,7185.25MB,1.090024709701538s,3302
95%,3600s,LeNet5,MNIST,128,148.0MB,7295.25MB,0.42136192321777344s,8543
10%,3600s,mnasnet0_5,CIFAR10,256,248.0MB,535.5MB,0.8612263202667236s,4180
10%,3600s,mobilenet_v2,CIFAR10,256,444.0MB,339.5MB,1.352001667022705s,2662
10%,3600s,resnet18,CIFAR10,256,334.0MB,449.5MB,1.0091488361358643s,3567
10%,3600s,LeNet5,MNIST,256,148.0MB,635.5MB,0.4134654998779297s,8706
20%,3600s,mnasnet0_5,CIFAR10,256,248.0MB,1319.0MB,0.8603389263153076s,4184
20%,3600s,mobilenet_v2,CIFAR10,256,444.0MB,1123.0MB,1.3296453952789307s,2707
20%,3600s,resnet18,CIFAR10,256,334.0MB,1233.0MB,1.0369555950164795s,3471
20%,3600s,LeNet5,MNIST,256,148.0MB,1419.0MB,0.41938209533691406s,8584
30%,3600s,mnasnet0_5,CIFAR10,256,248.0MB,2102.5MB,0.8802478313446045s,4089
30%,3600s,mobilenet_v2,CIFAR10,256,444.0MB,1906.5MB,1.3429601192474365s,2680
30%,3600s,resnet18,CIFAR10,256,334.0MB,2016.5MB,1.0293216705322266s,3497
30%,3600s,LeNet5,MNIST,256,148.0MB,2202.5MB,0.42783379554748535s,8414
40%,3600s,mnasnet0_5,CIFAR10,256,248.0MB,2886.0MB,0.8558328151702881s,4206
40%,3600s,mobilenet_v2,CIFAR10,256,444.0MB,2690.0MB,1.3308546543121338s,2705
40%,3600s,resnet18,CIFAR10,256,334.0MB,2800.0MB,1.0146839618682861s,3547
40%,3600s,LeNet5,MNIST,256,148.0MB,2986.0MB,0.47444725036621094s,7587
45%,3600s,mnasnet0_5,CIFAR10,256,248.0MB,3277.75MB,0.9020750522613525s,3990
45%,3600s,mobilenet_v2,CIFAR10,256,444.0MB,3081.75MB,1.3670446872711182s,2633
45%,3600s,resnet18,CIFAR10,256,334.0MB,3191.75MB,1.021348237991333s,3524
45%,3600s,LeNet5,MNIST,256,148.0MB,3377.75MB,0.41265130043029785s,8724
50%,3600s,mnasnet0_5,CIFAR10,256,248.0MB,3669.5MB,0.8635110855102539s,4169
50%,3600s,mobilenet_v2,CIFAR10,256,444.0MB,3473.5MB,1.360933542251587s,2645
50%,3600s,resnet18,CIFAR10,256,334.0MB,3583.5MB,1.0061566829681396s,3577
50%,3600s,LeNet5,MNIST,256,148.0MB,3769.5MB,0.4040508270263672s,8909
60%,3600s,mnasnet0_5,CIFAR10,256,248.0MB,4453.0MB,0.8564527034759521s,4203
60%,3600s,mobilenet_v2,CIFAR10,256,444.0MB,4257.0MB,1.3614087104797363s,2644
60%,3600s,resnet18,CIFAR10,256,334.0MB,4367.0MB,1.0161545276641846s,3542
60%,3600s,LeNet5,MNIST,256,148.0MB,4553.0MB,0.41335129737854004s,8709
70%,3600s,mnasnet0_5,CIFAR10,256,248.0MB,5236.5MB,0.8954424858093262s,4020
70%,3600s,mobilenet_v2,CIFAR10,256,444.0MB,5040.5MB,1.3556592464447021s,2655
70%,3600s,resnet18,CIFAR10,256,334.0MB,5150.5MB,1.0464491844177246s,3440
70%,3600s,LeNet5,MNIST,256,148.0MB,5336.5MB,0.45090270042419434s,7983
80%,3600s,mnasnet0_5,CIFAR10,256,248.0MB,6020.0MB,0.8569915294647217s,4200
80%,3600s,mobilenet_v2,CIFAR10,256,444.0MB,5824.0MB,1.3450992107391357s,2676
80%,3600s,resnet18,CIFAR10,256,334.0MB,5934.0MB,1.0064561367034912s,3576
80%,3600s,LeNet5,MNIST,256,148.0MB,6120.0MB,0.40728139877319336s,8839
90%,3600s,mnasnet0_5,CIFAR10,256,248.0MB,6803.5MB,0.8638656139373779s,4167
90%,3600s,mobilenet_v2,CIFAR10,256,444.0MB,6607.5MB,1.3634679317474365s,2640
90%,3600s,resnet18,CIFAR10,256,334.0MB,6717.5MB,1.0058884620666504s,3578
90%,3600s,LeNet5,MNIST,256,148.0MB,6903.5MB,0.4650144577026367s,7741
95%,3600s,mnasnet0_5,CIFAR10,256,248.0MB,7195.25MB,0.9173362255096436s,3924
95%,3600s,mobilenet_v2,CIFAR10,256,444.0MB,6999.25MB,1.3500282764434814s,2666
95%,3600s,resnet18,CIFAR10,256,334.0MB,7109.25MB,1.0218799114227295s,3522
95%,3600s,LeNet5,MNIST,256,148.0MB,7295.25MB,0.41947412490844727s,8582
10%,3600s,mnasnet0_5,CIFAR10,512,318.0MB,465.5MB,0.9442188739776611s,3812
10%,3600s,mobilenet_v2,CIFAR10,512,754.0MB,29.5MB,1.4508137702941895s,2481
10%,3600s,resnet18,CIFAR10,512,470.0MB,313.5MB,1.067962884902954s,3370
10%,3600s,LeNet5,MNIST,512,168.0MB,615.5MB,0.3550279140472412s,10140
20%,3600s,mnasnet0_5,CIFAR10,512,318.0MB,1249.0MB,0.9142327308654785s,3937
20%,3600s,mobilenet_v2,CIFAR10,512,754.0MB,813.0MB,1.3716566562652588s,2624
20%,3600s,resnet18,CIFAR10,512,470.0MB,1097.0MB,1.0674192905426025s,3372
20%,3600s,LeNet5,MNIST,512,168.0MB,1399.0MB,0.3620941638946533s,9942
30%,3600s,mnasnet0_5,CIFAR10,512,318.0MB,2032.5MB,0.9021346569061279s,3990
30%,3600s,mobilenet_v2,CIFAR10,512,754.0MB,1596.5MB,1.3878917694091797s,2593
30%,3600s,resnet18,CIFAR10,512,470.0MB,1880.5MB,1.0710673332214355s,3361
30%,3600s,LeNet5,MNIST,512,168.0MB,2182.5MB,0.3936588764190674s,9144
40%,3600s,mnasnet0_5,CIFAR10,512,318.0MB,2816.0MB,0.9135174751281738s,3940
40%,3600s,mobilenet_v2,CIFAR10,512,754.0MB,2380.0MB,1.4427778720855713s,2495
40%,3600s,resnet18,CIFAR10,512,470.0MB,2664.0MB,1.0971384048461914s,3281
40%,3600s,LeNet5,MNIST,512,168.0MB,2966.0MB,0.3636972904205322s,9898
45%,3600s,mnasnet0_5,CIFAR10,512,318.0MB,3207.75MB,0.914186954498291s,3937
45%,3600s,mobilenet_v2,CIFAR10,512,754.0MB,2771.75MB,1.487177848815918s,2420
45%,3600s,resnet18,CIFAR10,512,470.0MB,3055.75MB,1.1018157005310059s,3267
45%,3600s,LeNet5,MNIST,512,168.0MB,3357.75MB,0.3712649345397949s,9696
50%,3600s,mnasnet0_5,CIFAR10,512,318.0MB,3599.5MB,0.9287073612213135s,3876
50%,3600s,mobilenet_v2,CIFAR10,512,754.0MB,3163.5MB,1.472116231918335s,2445
50%,3600s,resnet18,CIFAR10,512,470.0MB,3447.5MB,1.101248025894165s,3269
50%,3600s,LeNet5,MNIST,512,168.0MB,3749.5MB,0.3722341060638428s,9671
60%,3600s,mnasnet0_5,CIFAR10,512,318.0MB,4383.0MB,0.9373767375946045s,3840
60%,3600s,mobilenet_v2,CIFAR10,512,754.0MB,3947.0MB,1.4193089008331299s,2536
60%,3600s,resnet18,CIFAR10,512,470.0MB,4231.0MB,1.065786361694336s,3377
60%,3600s,LeNet5,MNIST,512,168.0MB,4533.0MB,0.3684988021850586s,9769
70%,3600s,mnasnet0_5,CIFAR10,512,318.0MB,5166.5MB,0.9138753414154053s,3939
70%,3600s,mobilenet_v2,CIFAR10,512,754.0MB,4730.5MB,1.4372563362121582s,2504
70%,3600s,resnet18,CIFAR10,512,470.0MB,5014.5MB,1.0645155906677246s,3381
70%,3600s,LeNet5,MNIST,512,168.0MB,5316.5MB,0.3587627410888672s,10034
80%,3600s,mnasnet0_5,CIFAR10,512,318.0MB,5950.0MB,0.9089405536651611s,3960
80%,3600s,mobilenet_v2,CIFAR10,512,754.0MB,5514.0MB,1.4032976627349854s,2565
80%,3600s,resnet18,CIFAR10,512,470.0MB,5798.0MB,1.063840627670288s,3383
80%,3600s,LeNet5,MNIST,512,168.0MB,6100.0MB,0.3609299659729004s,9974
90%,3600s,mnasnet0_5,CIFAR10,512,318.0MB,6733.5MB,0.909198522567749s,3959
90%,3600s,mobilenet_v2,CIFAR10,512,754.0MB,6297.5MB,1.4055657386779785s,2561
90%,3600s,resnet18,CIFAR10,512,470.0MB,6581.5MB,1.0625953674316406s,3387
90%,3600s,LeNet5,MNIST,512,168.0MB,6883.5MB,0.3661038875579834s,9833
95%,3600s,mnasnet0_5,CIFAR10,512,318.0MB,7125.25MB,0.9388177394866943s,3834
95%,3600s,mobilenet_v2,CIFAR10,512,754.0MB,6689.25MB,1.4334046840667725s,2511
95%,3600s,resnet18,CIFAR10,512,470.0MB,6973.25MB,1.1000823974609375s,3272
95%,3600s,LeNet5,MNIST,512,168.0MB,7275.25MB,0.3785896301269531s,9508
10%,3600s,mnasnet0_5,CIFAR10,1024,498.0MB,285.5MB,1.0274226665496826s,3503
10%,3600s,mobilenet_v2,CIFAR10,1024,1352.0MB,-568.5MB,1.5682809352874756s,2295
10%,3600s,resnet18,CIFAR10,1024,750.0MB,33.5MB,1.1810197830200195s,3048
10%,3600s,LeNet5,MNIST,1024,188.0MB,595.5MB,0.36316943168640137s,9912
20%,3600s,mnasnet0_5,CIFAR10,1024,498.0MB,1069.0MB,1.0290803909301758s,3498
20%,3600s,mobilenet_v2,CIFAR10,1024,1352.0MB,215.0MB,1.558790683746338s,2309
20%,3600s,resnet18,CIFAR10,1024,750.0MB,817.0MB,1.1775658130645752s,3057
20%,3600s,LeNet5,MNIST,1024,188.0MB,1379.0MB,0.3562490940093994s,10105
30%,3600s,mnasnet0_5,CIFAR10,1024,498.0MB,1852.5MB,1.0300092697143555s,3495
30%,3600s,mobilenet_v2,CIFAR10,1024,1352.0MB,998.5MB,1.5840253829956055s,2272
30%,3600s,resnet18,CIFAR10,1024,750.0MB,1600.5MB,1.1827502250671387s,3043
30%,3600s,LeNet5,MNIST,1024,188.0MB,2162.5MB,0.370664119720459s,9712
40%,3600s,mnasnet0_5,CIFAR10,1024,498.0MB,2636.0MB,1.054347038269043s,3414
40%,3600s,mobilenet_v2,CIFAR10,1024,1352.0MB,1782.0MB,1.528489351272583s,2355
40%,3600s,resnet18,CIFAR10,1024,750.0MB,2384.0MB,1.1978716850280762s,3005
40%,3600s,LeNet5,MNIST,1024,188.0MB,2946.0MB,0.35391950607299805s,10171
45%,3600s,mnasnet0_5,CIFAR10,1024,498.0MB,3027.75MB,1.0282299518585205s,3501
45%,3600s,mobilenet_v2,CIFAR10,1024,1352.0MB,2173.75MB,1.594085693359375s,2258
